"Name","Category","Location","Phone Number"
"Св. Спас","place_of_worship","","Dunje"
"Св. Харалампиј","place_of_worship","","Vitolishte"
"Св. Атанасиј","place_of_worship","","Vitolishte"
"Св. Петка","place_of_worship","","Vitolishte"
"Св. Никола","place_of_worship","","Prilep (Vicinity)"
"Св. Димитриј Солунски","place_of_worship","","Dunje"
"Св. Никола","place_of_worship","","Dobrushevo"
"Успение на Пресвета Богородица","place_of_worship","","Kanatlarci"
"Св. Спас","place_of_worship","","Kalen"
"Св. Спас","place_of_worship","","Kalen"
"Св. Архангел Михаил","place_of_worship","","Klepach"
"Св. Никола","place_of_worship","","Pletvar"
"Рождество на Пресвета Богородица","place_of_worship","","Toplica"
"Св. Атанасиј","place_of_worship","","Zhitoshe"
"Стара Џамија","place_of_worship","","Zhitoshe"
"Св. Спас","place_of_worship","","Lokov"
"Св. Петка","place_of_worship","","Lokov"
"Св. Петка","place_of_worship","","Beshishte"
"Св. Петар","place_of_worship","","Skochivir"
"Св. Спас","place_of_worship","","Rogachevo"
"Св. Спас","place_of_worship","","Rogachevo"
"Св. Илија","place_of_worship","","Rogachevo"
"Св. Архангел Михаил","place_of_worship","","Rogachevo"
"Св. Петка и Св. Недела","place_of_worship","","Rogachevo"
"Св. Петка","place_of_worship","","Vratnica"
"Св. Петка","place_of_worship","","Skopje"
"Пресвета Богородица","place_of_worship","","Peshtalevo"
"Св. Петка","place_of_worship","","Prilep"
"Црква Св. Варвара","place_of_worship","","Vevchani"
"Св. Георгиј","place_of_worship","","Vevchani"
"Св. Недела","place_of_worship","","Rzhanovo"
"Св. Василиј","place_of_worship","","Jastrebnik"
"Свети Климент","place_of_worship","","Ohrid"
"Долна џамија","place_of_worship","","Crnilishte"
"Горна џамија","place_of_worship","","Crnilishte"
"Св. Богородица","place_of_worship","",""
"Св. Атанасиј Велики","place_of_worship","","Bitola"
"Собор на Сите Македонски Светители","place_of_worship","","Bitola"
"Св. Петар и Св. Павле / Собор на Светите Апостоли","place_of_worship","","Bitola"
"Св. Пантелејмон","place_of_worship","","Bitola"
"Св. Атанасиј Велики","place_of_worship","","Leshok"
"Пресвета Богородица","place_of_worship","","Leshok"
"Св. Петка","place_of_worship","","Neproshteno"
"Св. Петар и Павле","place_of_worship","","Kichevo"
"Sveti Nikola Bolnički","place_of_worship","","Ohrid"
"Црква „Св. Апостоли Петар и Павле“","place_of_worship","","Skopje"
"Манастир Св.Илија Петти Кладенци","place_of_worship","","Shopsko Rudare"
"Џамија Мустафа Челеби","place_of_worship","",""
"Манастир Св. Арханѓел Гаврил","place_of_worship","","Zelenikovo"
"Св. Јован Крстител","place_of_worship","","Sarandinovo"
"Св. Никола","place_of_worship","","Podvis"
"Св. Атанасиј Велики","place_of_worship","","Gostirazhni"
"Пресвета Богородица","place_of_worship","","Prilep (Vicinity)"
"Св. Георгиј","place_of_worship","","Debreshte"
"Баталоска","place_of_worship","","Debreshte"
"Долна","place_of_worship","","Debreshte"
"Св. Троица","place_of_worship","","Desovo"
"Св. Спас","place_of_worship","","Dolneni"
"Св. Теодор Тирон","place_of_worship","","Drenovci"
"Св. Атанасиј Велики","place_of_worship","","Beranci"
"Св. Атанасиј","place_of_worship","","Ropotovo"
"Св. Архангел Михаил","place_of_worship","","Ropotovo"
"Нова Џамија","place_of_worship","","Zhitoshe"
"Св. Атанасиј Велики","place_of_worship","","Gorno Selo"
"Св. Никола","place_of_worship","","Zrze"
"Рождество на Пресвета Богородица","place_of_worship","","Kostinci"
"Св. Димитриј Солунски","place_of_worship","","Debreshte"
"Св. Никола","place_of_worship","","Zhitoshe"
"Св. Атанасиј Велики","place_of_worship","","Zhitoshe"
"Нова Џамија","place_of_worship","","Lazhani"
"Стара Џамија","place_of_worship","","Lazhani"
"Св. Никола","place_of_worship","","Lazhani"
"Св. Троица","place_of_worship","","Lokveni"
"Св. Никола","place_of_worship","","Prilep (Vicinity)"
"Св. Георгиј","place_of_worship","","Sarandinovo"
"Св. Атанасиј","place_of_worship","","Sekirci"
"Св. Атанасиј Велики","place_of_worship","","Senokos"
"Св. Атанасиј","place_of_worship","","Zrze"
"Воведение на Пресвета Богородица","place_of_worship","","Ropotovo"
"Св. Пантелејмон","place_of_worship","","Prisad"
"Пресвето Срце Исусово","place_of_worship","","Bitola"
"Храм Свети Климент Охридски и Света Петка","place_of_worship","","Ново Село"
"Црква Св. Никола Летен","place_of_worship","","Mavrovo"
"Xhamia Hixhri","place_of_worship","","Negotino"
"Xhamia e Madhe","place_of_worship","","Negotino"
"Xhamia e Kalishtit","place_of_worship","","Toplica"
"Xhamia e Gjurgjevishtit","place_of_worship","","Negotino"
"Св. Никола","place_of_worship","","Vrboec"
"Успение на Пресвета Богородица","place_of_worship","","Vrboec"
"Св. Троица","place_of_worship","","Trojaci"
"Св. Петка","place_of_worship","","Kavadarci"
"Св. Кирил и Методиј","place_of_worship","","Gevgelija"
"Св. Атанасиј Велики","place_of_worship","","Negotino"
"Св. Јован Крстител","place_of_worship","","Veles"
"Св. Димитриј","place_of_worship","","Kavadarci"
"Свети Апостол и евангелист Лука","place_of_worship","",""
"Св. Три Светители","place_of_worship","","Skopje"
"Св. Архангел Гаврил","place_of_worship","","Skopje"
"Xhamija e Deshmoreve Hasanbeg","place_of_worship","",""
"Св. Петка","place_of_worship","","Veles"
"Св. Никола","place_of_worship","","Veles"
"Св. Јован Крстител","place_of_worship","","Veles"
"Св. Константин и Св. Елена","place_of_worship","","Bitola"
"Св. Ана","place_of_worship","","Bitola"
"Св. Наум Охридски","place_of_worship","","Bitola"
"Св. 40. Севастиски маченици","place_of_worship","","Bitola"
"Св. Злата Мегленска","place_of_worship","","Bitola"
"Св. Георгиј Победоносец","place_of_worship","","Rajchica"
"Св. Никола","place_of_worship","","Carev Dvor"
"Св. Георгиј","place_of_worship","","Lazarovci"
"Орта џамија","place_of_worship","","Strumica"
"Св. Кирил и Методиј","place_of_worship","","Strumica"
"Св. Ѓорѓи","place_of_worship","",""
"Хаџимуратова џамија","place_of_worship","",""
"Хаџирамаданова џамија","place_of_worship","",""
"Св. Јован Крстител","place_of_worship","","Beranci"
"Св. Константин и Св. Елена","place_of_worship","","Beranci"
"Црква „Св. Архангел Михаил“","place_of_worship","","Podbgege"
"Св. Архангел Гаврил","place_of_worship","","Bitola"
"Св. Александар Солунски","place_of_worship","","Bitola"
"Св. Лидија Македонска","place_of_worship","","Bitola"
"Св. Никола","place_of_worship","","Bitola"
"Црква Св. Никола","place_of_worship","","Podbgege"
"Црква Св. Теодор Тирон","place_of_worship","","Janchishte"
"Св. Атанасиј Велики","place_of_worship","","Kukurechani"
"Св. Кирил и Методиј","place_of_worship","","Loznani"
"Св. Спас","place_of_worship","","Skopje"
"Св. Никола","place_of_worship","","Skopje"
"Св. Константин и Елена","place_of_worship","","Skopje"
"Св. Илија","place_of_worship","","Meglenci"
"Св. Никола","place_of_worship","","Suvo Dol"
"Успение на Пресвета Богородица","place_of_worship","","Gjavato"
"Света Троица","place_of_worship","","Bitola"
"Црква „Преображение“","place_of_worship","","Kochani"
